units_used,peak_hours_usage,appliance_count,lighting_type,avg_lighting_hours,tariff_type,season,previous_bill,efficiency_score,predicted_bill
463,28,15,Bulb,9,Commercial,Monsoon,897,2,3464
428,176,15,CFL,5,Domestic,Winter,4506,1,3750
204,190,4,CFL,5,Domestic,Summer,2555,1,1915
556,16,2,Bulb,2,Commercial,Summer,5270,5,3053
275,122,15,CFL,10,Domestic,Summer,4476,7,2790
569,103,3,LED,6,Domestic,Summer,2200,5,3460
236,169,9,Bulb,8,Domestic,Winter,3207,3,2342
443,101,12,LED,4,Domestic,Monsoon,1298,1,3394
271,172,4,LED,5,Commercial,Winter,1799,5,2204
215,178,14,LED,6,Commercial,Summer,815,3,2591
63,70,3,LED,10,Domestic,Monsoon,5859,6,743
266,171,5,Bulb,7,Domestic,Winter,5772,8,2241
427,107,8,LED,7,Domestic,Summer,5197,1,3067
472,14,4,LED,5,Domestic,Summer,4350,7,2744
199,75,7,Bulb,4,Domestic,Winter,1943,3,1723
535,47,6,Bulb,5,Domestic,Summer,666,7,3305
439,101,3,LED,4,Domestic,Monsoon,3236,7,2782
274,48,11,Bulb,2,Commercial,Monsoon,3411,7,2288
542,21,11,CFL,3,Domestic,Winter,3757,7,3587
378,27,10,CFL,5,Commercial,Winter,1125,1,2694
130,174,2,CFL,9,Commercial,Summer,4081,5,1351
199,38,9,LED,4,Commercial,Summer,4929,1,1738
476,76,5,Bulb,2,Domestic,Summer,933,5,3026
450,145,11,Bulb,6,Commercial,Winter,5742,3,3503
231,189,5,CFL,3,Commercial,Summer,4900,10,2117
475,15,6,Bulb,10,Domestic,Summer,3505,2,2894
499,25,5,Bulb,10,Domestic,Monsoon,1310,1,2984
536,177,14,CFL,9,Commercial,Monsoon,5919,2,4245
409,175,11,Bulb,5,Commercial,Monsoon,4227,5,3386
96,173,5,CFL,4,Domestic,Winter,995,3,1369
57,190,6,CFL,4,Commercial,Summer,1387,4,1287
57,10,3,LED,8,Domestic,Winter,3044,4,522
575,87,14,LED,2,Commercial,Monsoon,2087,3,4163
426,66,11,LED,2,Commercial,Summer,1340,10,3130
315,140,9,Bulb,7,Commercial,Monsoon,2118,2,2659
216,161,8,Bulb,10,Commercial,Winter,5585,5,2148
52,82,4,LED,2,Domestic,Summer,763,1,789
231,72,7,CFL,7,Domestic,Summer,622,10,1879
147,54,15,CFL,4,Commercial,Monsoon,875,3,1914
144,199,4,Bulb,7,Domestic,Summer,4700,5,1633
97,150,12,LED,5,Commercial,Monsoon,1907,7,1762
220,51,8,LED,6,Commercial,Monsoon,2525,4,1822
298,50,4,CFL,9,Commercial,Summer,3768,7,1959
209,57,2,LED,2,Commercial,Winter,5163,4,1390
470,113,6,Bulb,8,Domestic,Summer,1771,6,3177
259,40,11,CFL,10,Domestic,Winter,4009,9,2186
107,144,12,LED,7,Domestic,Summer,5843,5,1794
475,112,13,LED,7,Domestic,Summer,4667,3,3660
370,77,4,CFL,6,Commercial,Summer,3375,5,2416
553,77,12,CFL,6,Domestic,Winter,4332,5,3886
599,55,12,CFL,2,Commercial,Summer,4476,5,4055
438,81,2,LED,5,Domestic,Summer,2343,5,2648
240,160,3,CFL,8,Domestic,Winter,5033,4,1940
350,74,7,LED,5,Commercial,Winter,3211,6,2500
106,74,8,Bulb,5,Domestic,Monsoon,4978,2,1306
325,154,2,LED,2,Domestic,Winter,4044,2,2295
443,95,10,Bulb,3,Domestic,Monsoon,585,1,3244
599,26,7,LED,4,Commercial,Winter,1659,8,3635
203,190,5,LED,10,Commercial,Monsoon,3392,9,1975
402,175,9,LED,8,Commercial,Monsoon,3658,7,3218
188,85,4,CFL,9,Commercial,Winter,2384,7,1501
109,111,4,LED,9,Commercial,Winter,4703,6,1175
139,56,13,LED,9,Domestic,Monsoon,5310,1,1748
398,57,3,CFL,10,Domestic,Summer,1534,8,2432
394,93,3,LED,7,Commercial,Summer,3351,10,2524
250,174,13,Bulb,7,Commercial,Summer,1655,7,2693
358,126,10,LED,3,Commercial,Monsoon,4056,6,2902
546,146,7,Bulb,6,Domestic,Winter,5660,4,3739
349,129,15,LED,9,Commercial,Winter,5381,5,3194
193,140,13,CFL,10,Domestic,Summer,5450,1,2292
350,17,8,LED,6,Commercial,Monsoon,5636,4,2386
387,152,13,Bulb,7,Commercial,Winter,599,2,3331
231,189,15,LED,10,Commercial,Winter,2199,6,2774
60,22,11,Bulb,9,Commercial,Summer,3184,3,1101
496,71,4,Bulb,8,Commercial,Summer,655,6,3048
280,93,4,LED,3,Commercial,Winter,1677,6,2001
205,79,13,Bulb,3,Commercial,Winter,2951,1,2161
112,36,12,Bulb,6,Commercial,Winter,3028,1,1480
532,137,3,CFL,5,Commercial,Winter,3790,4,3376
353,151,14,Bulb,2,Commercial,Winter,4887,10,3218
455,108,9,CFL,5,Commercial,Monsoon,3780,10,3281
119,27,12,LED,7,Domestic,Monsoon,4635,1,1488
362,33,12,CFL,6,Domestic,Monsoon,1764,10,2761
447,49,7,CFL,3,Commercial,Monsoon,2895,10,2922
412,118,5,Bulb,6,Domestic,Summer,3277,1,2828
560,136,6,LED,7,Domestic,Monsoon,4860,4,3714
443,133,5,Bulb,3,Commercial,Winter,4147,3,3035
526,163,8,CFL,3,Domestic,Winter,1664,4,3755
430,120,3,CFL,3,Commercial,Summer,2856,10,2795
116,181,12,Bulb,9,Commercial,Summer,1648,6,1957
207,75,5,Bulb,8,Commercial,Summer,2111,9,1633
164,46,5,Bulb,4,Domestic,Monsoon,4133,7,1320
314,197,3,Bulb,9,Commercial,Summer,3331,2,2439
70,112,9,Bulb,8,Commercial,Summer,565,4,1305
186,157,8,Bulb,6,Commercial,Monsoon,4561,4,1980
283,15,11,CFL,8,Commercial,Summer,5745,6,2231
92,160,5,Bulb,2,Commercial,Winter,2032,2,1307
526,89,13,Bulb,3,Domestic,Summer,2999,8,3850
578,79,2,Bulb,7,Commercial,Winter,2358,5,3365
270,60,4,LED,4,Commercial,Summer,3448,8,1846
567,11,14,Bulb,9,Domestic,Monsoon,1939,6,3882
525,15,4,CFL,7,Commercial,Winter,3071,6,3021
364,19,7,CFL,2,Commercial,Monsoon,717,1,2399
59,136,13,LED,6,Commercial,Monsoon,2515,6,1587
485,61,12,Bulb,8,Commercial,Summer,4696,3,3485
272,59,8,Bulb,9,Commercial,Summer,2622,3,2116
273,174,6,Bulb,9,Commercial,Monsoon,1651,8,2352
75,193,14,LED,3,Domestic,Monsoon,5301,7,1915
141,113,8,LED,2,Domestic,Monsoon,5300,10,1609
164,125,6,Bulb,10,Domestic,Monsoon,3884,7,1635
536,75,8,Bulb,5,Domestic,Monsoon,5041,3,3529
455,93,15,CFL,10,Commercial,Summer,716,8,3628
69,57,14,LED,9,Domestic,Summer,5436,9,1455
432,11,7,CFL,8,Commercial,Winter,2828,4,2725
326,66,15,CFL,4,Domestic,Winter,4804,5,2877
253,89,11,CFL,3,Commercial,Winter,1495,7,2309
115,21,7,LED,10,Domestic,Winter,2409,4,1119
443,172,9,CFL,4,Domestic,Summer,3449,3,3421
263,65,11,LED,7,Commercial,Summer,3790,5,2285
110,194,3,CFL,10,Commercial,Winter,2106,8,1376
114,190,9,LED,9,Domestic,Summer,5733,8,1778
278,195,15,CFL,5,Domestic,Winter,5628,6,3035
162,27,13,Bulb,10,Commercial,Monsoon,4908,3,1775
275,27,3,LED,4,Domestic,Winter,5906,5,1702
544,17,5,LED,6,Domestic,Winter,2511,1,3191
454,21,12,LED,7,Domestic,Summer,4498,6,3199
167,107,6,CFL,2,Domestic,Summer,3064,5,1593
403,90,8,CFL,3,Domestic,Winter,1961,3,2890
67,187,6,LED,8,Domestic,Monsoon,5272,8,1329
236,74,6,LED,7,Domestic,Winter,4489,8,1846
491,110,6,CFL,6,Domestic,Summer,5004,4,3276
483,98,15,LED,8,Domestic,Monsoon,3658,3,3788
298,51,3,CFL,6,Commercial,Monsoon,2108,6,1896
502,114,10,CFL,2,Commercial,Summer,1593,5,3608
62,64,4,CFL,7,Domestic,Winter,5178,7,784
269,195,3,Bulb,9,Commercial,Monsoon,5184,3,2200
270,122,7,Bulb,5,Domestic,Winter,2159,3,2238
465,132,15,LED,8,Domestic,Summer,3408,7,3802
411,161,11,Bulb,4,Domestic,Winter,2486,1,3352
335,50,5,LED,6,Commercial,Monsoon,3267,2,2216
555,64,12,Bulb,2,Domestic,Winter,2755,8,3856
209,132,14,CFL,5,Domestic,Monsoon,5056,4,2415
221,160,6,LED,3,Domestic,Winter,1514,6,2039
91,64,3,Bulb,7,Commercial,Summer,2691,6,868
526,16,13,Bulb,10,Domestic,Monsoon,973,6,3620
521,133,14,LED,9,Commercial,Monsoon,3183,6,4029
528,79,11,CFL,5,Domestic,Monsoon,3501,4,3698
155,174,7,LED,5,Domestic,Monsoon,3833,3,1808
243,193,2,LED,7,Commercial,Monsoon,5648,7,1994
154,59,13,Bulb,8,Domestic,Summer,4076,3,1835
391,159,10,LED,10,Domestic,Summer,918,3,3177
443,150,12,CFL,5,Domestic,Winter,5484,1,3548
370,96,2,Bulb,8,Domestic,Monsoon,1993,6,2344
383,129,15,Bulb,9,Domestic,Winter,5713,10,3369
223,69,11,Bulb,5,Commercial,Summer,5444,7,2091
279,98,5,CFL,4,Domestic,Summer,5317,6,2078
249,127,15,LED,5,Domestic,Summer,4247,7,2671
416,197,9,CFL,10,Commercial,Monsoon,5128,6,3360
291,188,15,LED,6,Domestic,Monsoon,5275,9,3080
260,22,6,Bulb,10,Commercial,Winter,2754,7,1806
287,111,8,Bulb,7,Domestic,Winter,3817,8,2357
249,151,4,CFL,3,Domestic,Monsoon,3755,5,2024
116,71,9,Bulb,4,Domestic,Winter,5484,2,1414
474,29,4,CFL,3,Domestic,Summer,5736,6,2802
397,150,7,CFL,8,Commercial,Summer,4425,4,2982
538,77,6,CFL,4,Domestic,Winter,3929,5,3415
190,60,2,CFL,10,Domestic,Monsoon,4931,9,1301
346,95,13,LED,7,Commercial,Summer,4979,2,2940
319,66,5,CFL,2,Domestic,Monsoon,4945,6,2183
399,113,10,LED,7,Domestic,Monsoon,3597,4,3073
281,127,6,CFL,9,Domestic,Monsoon,4452,7,2245
362,39,5,Bulb,4,Commercial,Summer,2430,6,2320
229,139,4,LED,9,Domestic,Monsoon,5837,4,1883
476,101,9,Bulb,7,Domestic,Monsoon,5034,8,3367
559,46,13,LED,6,Domestic,Summer,2701,9,3885
466,96,2,Bulb,4,Commercial,Monsoon,3969,10,2840
200,45,4,LED,7,Domestic,Summer,5061,10,1437
505,158,13,Bulb,4,Domestic,Monsoon,2637,2,3959
328,144,3,CFL,7,Domestic,Monsoon,800,4,2344
558,195,9,Bulb,8,Domestic,Summer,3286,2,4087
280,171,4,Bulb,2,Domestic,Winter,3296,9,2247
313,50,13,Bulb,9,Commercial,Winter,5376,8,2628
558,14,7,Bulb,3,Domestic,Summer,3256,5,3385
410,187,5,Bulb,7,Commercial,Summer,4791,6,3035
229,142,5,CFL,5,Domestic,Winter,2155,9,1958
347,167,10,LED,5,Commercial,Monsoon,5585,1,2975
223,96,3,LED,4,Commercial,Summer,1597,8,1651
391,39,8,Bulb,4,Commercial,Winter,2952,3,2667
590,132,9,CFL,6,Domestic,Winter,4495,10,4054
258,114,6,LED,4,Domestic,Winter,3094,8,2085
462,60,9,LED,8,Domestic,Winter,4873,10,3166
543,53,11,LED,2,Commercial,Winter,1321,9,3693
148,119,14,Bulb,7,Domestic,Winter,986,10,2059
199,145,7,CFL,10,Commercial,Winter,2423,1,1944
99,75,15,CFL,9,Domestic,Winter,3105,8,1733
196,136,11,LED,6,Domestic,Winter,4190,5,2163
362,184,6,LED,3,Commercial,Summer,2972,6,2843
181,88,12,Bulb,6,Domestic,Winter,5385,2,2000
55,88,12,CFL,7,Commercial,Winter,3199,4,1349
86,129,7,CFL,7,Commercial,Summer,3822,4,1310
352,175,14,LED,2,Domestic,Monsoon,3371,8,3289
175,138,11,CFL,2,Commercial,Monsoon,4438,8,2061
339,130,15,Bulb,5,Domestic,Monsoon,2573,4,3145
182,171,11,LED,9,Commercial,Summer,1101,4,2201
454,111,4,CFL,10,Commercial,Summer,2564,1,2957
109,152,2,CFL,8,Commercial,Monsoon,5505,4,1173
124,33,10,CFL,8,Domestic,Monsoon,2219,6,1401
162,183,3,CFL,5,Commercial,Summer,1799,2,1610
400,47,12,Bulb,3,Domestic,Monsoon,5125,4,3002
285,159,15,Bulb,6,Domestic,Winter,2885,1,2958
79,44,7,CFL,5,Domestic,Summer,3115,10,1006
277,34,2,LED,7,Commercial,Winter,2702,3,1669
464,167,3,Bulb,4,Commercial,Summer,1470,8,3119
250,129,10,CFL,8,Commercial,Summer,3550,1,2354
472,135,3,Bulb,5,Domestic,Winter,4892,3,3060
232,119,12,Bulb,4,Commercial,Summer,4340,4,2361
437,189,8,LED,5,Commercial,Summer,2029,5,3378
147,147,14,CFL,3,Domestic,Summer,5327,7,2142
283,28,9,LED,7,Domestic,Winter,930,7,2141
203,22,12,LED,2,Domestic,Winter,650,6,1906
503,30,3,Bulb,4,Domestic,Monsoon,2293,2,2889
354,184,8,CFL,6,Domestic,Monsoon,5252,10,2933
449,22,11,LED,3,Domestic,Summer,3162,1,3110
570,136,8,CFL,5,Domestic,Winter,4767,9,3897
149,118,7,LED,8,Commercial,Winter,2594,7,1601
195,142,8,CFL,5,Commercial,Monsoon,2225,7,1980
561,175,12,LED,2,Domestic,Winter,4900,10,4237
549,17,14,Bulb,4,Domestic,Monsoon,2161,9,3808
410,77,4,LED,4,Domestic,Monsoon,1345,3,2622
484,113,7,LED,8,Commercial,Monsoon,5578,10,3315
206,200,10,LED,2,Domestic,Summer,5990,7,2351
366,91,4,LED,5,Commercial,Monsoon,1818,5,2439
108,87,5,CFL,9,Commercial,Monsoon,2053,10,1160
102,113,13,LED,6,Domestic,Winter,1132,10,1736
203,15,15,LED,5,Commercial,Winter,5994,8,2081
412,38,13,LED,10,Domestic,Summer,754,10,3101
483,110,3,Bulb,7,Domestic,Winter,5275,10,3038
456,84,3,CFL,5,Commercial,Summer,5063,4,2816
376,158,14,CFL,2,Domestic,Winter,5293,5,3359
341,121,5,Bulb,4,Domestic,Summer,765,8,2470
333,53,8,LED,4,Commercial,Winter,3391,7,2412
253,199,13,Bulb,3,Domestic,Monsoon,3942,1,2787
142,65,10,CFL,9,Domestic,Summer,3324,7,1595
290,200,2,CFL,10,Commercial,Monsoon,2610,6,2259
220,14,2,LED,8,Commercial,Winter,3823,2,1311
194,59,12,CFL,2,Domestic,Monsoon,2044,10,1976
491,142,9,Bulb,8,Commercial,Winter,2805,5,3574
416,72,11,LED,3,Domestic,Winter,4439,7,3097
88,43,6,Bulb,7,Commercial,Summer,5185,1,984
524,85,14,CFL,2,Domestic,Summer,587,5,3893
326,64,12,CFL,5,Domestic,Winter,2084,2,2673
386,152,3,CFL,3,Commercial,Winter,1888,2,2669
62,155,13,Bulb,7,Domestic,Summer,5859,1,1662
484,182,14,LED,10,Commercial,Summer,4857,5,3992
268,95,2,LED,7,Commercial,Winter,3538,8,1814
222,118,11,LED,5,Commercial,Summer,665,7,2241
133,112,15,LED,5,Commercial,Winter,3677,8,2025
98,18,3,CFL,2,Domestic,Winter,4242,7,759
539,196,12,CFL,3,Domestic,Summer,2823,2,4189
159,165,3,LED,9,Commercial,Monsoon,4012,3,1538
389,95,4,CFL,10,Commercial,Monsoon,3064,8,2571
350,193,4,LED,7,Commercial,Monsoon,2167,2,2678
305,164,4,CFL,6,Domestic,Summer,1998,6,2354
532,183,8,CFL,4,Commercial,Winter,4402,10,3849
504,155,8,CFL,4,Commercial,Monsoon,5260,6,3616
255,194,14,LED,8,Domestic,Summer,4141,5,2848
311,63,10,LED,10,Commercial,Summer,3805,9,2461
556,181,4,CFL,7,Domestic,Winter,5926,3,3704
348,182,3,Bulb,8,Domestic,Winter,3897,7,2567
489,103,10,CFL,2,Commercial,Summer,1488,1,3506
96,144,2,CFL,8,Domestic,Winter,2852,6,1081
229,171,12,CFL,3,Commercial,Summer,5652,6,2509
239,132,3,Bulb,8,Commercial,Winter,5267,1,1847
453,105,13,LED,9,Commercial,Winter,840,4,3524
284,74,10,LED,4,Domestic,Winter,4238,2,2356
589,118,10,Bulb,4,Domestic,Monsoon,2104,6,4070
217,45,10,CFL,6,Commercial,Winter,2678,4,1919
547,123,7,LED,8,Commercial,Winter,3485,5,3672
320,189,14,Bulb,6,Commercial,Winter,2648,6,3168
327,182,14,Bulb,3,Domestic,Summer,3118,7,3182
468,74,12,LED,9,Commercial,Monsoon,1611,4,3438
233,36,9,Bulb,7,Commercial,Monsoon,2752,2,1908
502,70,2,Bulb,5,Domestic,Monsoon,3254,2,2944
87,149,10,Bulb,6,Commercial,Summer,1742,7,1575
253,122,2,Bulb,7,Domestic,Monsoon,583,10,1822
471,129,10,Bulb,5,Domestic,Summer,3970,8,3495
75,179,9,CFL,3,Domestic,Summer,805,6,1542
261,26,7,Bulb,7,Domestic,Monsoon,2845,3,1889
501,100,3,Bulb,6,Commercial,Winter,3690,10,3099
257,174,12,LED,10,Domestic,Monsoon,1384,4,2663
180,144,5,CFL,8,Domestic,Monsoon,591,8,1711
421,101,4,Bulb,5,Domestic,Winter,5370,10,2755
237,56,8,CFL,2,Commercial,Summer,1821,3,1926
215,41,10,LED,3,Commercial,Winter,704,5,1896
120,35,13,Bulb,8,Domestic,Winter,5581,2,1584
341,184,12,CFL,9,Commercial,Monsoon,3913,7,3129
331,112,12,Bulb,10,Domestic,Monsoon,4859,9,2850
122,174,15,CFL,3,Domestic,Summer,5296,3,2163
422,180,3,Bulb,5,Commercial,Summer,1277,8,2943
479,147,9,Bulb,5,Commercial,Winter,1284,5,3528
87,55,2,CFL,10,Domestic,Winter,860,9,754
559,74,5,Bulb,9,Commercial,Winter,509,10,3448
144,26,2,CFL,2,Domestic,Monsoon,2701,8,956
195,78,15,CFL,3,Domestic,Summer,2208,7,2238
462,176,7,CFL,7,Commercial,Monsoon,4147,8,3400
277,175,12,LED,10,Commercial,Monsoon,2602,1,2770
400,169,3,Bulb,4,Commercial,Monsoon,1800,5,2795
470,122,13,CFL,3,Domestic,Monsoon,3587,5,3665
200,66,10,LED,6,Commercial,Winter,5587,8,1897
468,118,4,LED,9,Domestic,Summer,5980,7,3051
75,117,8,CFL,6,Commercial,Monsoon,2000,6,1281
262,20,9,CFL,3,Commercial,Winter,1406,10,2007
95,95,13,Bulb,4,Commercial,Summer,2117,4,1644
205,88,7,CFL,4,Commercial,Monsoon,2057,1,1795
83,134,12,LED,8,Commercial,Summer,3724,9,1639
573,64,10,CFL,10,Domestic,Summer,4118,1,3817
236,50,5,Bulb,9,Domestic,Winter,2345,3,1704
279,161,4,CFL,3,Commercial,Monsoon,2204,2,2211
225,55,2,LED,7,Domestic,Summer,3135,3,1466
519,79,11,Bulb,10,Domestic,Summer,1828,1,3651
466,41,11,CFL,2,Commercial,Winter,3960,8,3258
279,18,4,LED,7,Commercial,Summer,4198,4,1760
212,141,7,CFL,3,Domestic,Summer,2862,4,1999
595,145,15,LED,4,Commercial,Winter,3858,10,4515
330,38,14,LED,8,Commercial,Summer,508,8,2743
290,123,5,Bulb,2,Commercial,Monsoon,5332,2,2213
347,87,10,Bulb,3,Domestic,Winter,5968,2,2723
299,192,4,LED,4,Commercial,Winter,1131,1,2412
265,90,7,Bulb,9,Domestic,Winter,4052,4,2112
417,62,6,Bulb,10,Domestic,Winter,4186,10,2743
568,138,7,LED,4,Domestic,Summer,3036,10,3828
456,33,7,Bulb,10,Commercial,Monsoon,5732,2,2918
405,15,8,Bulb,6,Domestic,Winter,5386,5,2664
232,137,3,LED,5,Domestic,Winter,1492,9,1826
228,132,3,LED,6,Commercial,Winter,5211,9,1790
385,53,12,CFL,7,Domestic,Monsoon,5533,4,2943
471,125,12,CFL,7,Commercial,Monsoon,4058,9,3614
161,185,9,LED,10,Domestic,Winter,775,8,2005
231,194,6,CFL,4,Domestic,Summer,5543,4,2198
320,148,11,CFL,4,Commercial,Monsoon,5693,7,2841
313,52,12,Bulb,3,Commercial,Monsoon,3548,9,2568
262,107,15,LED,5,Domestic,Summer,3475,6,2675
88,175,10,LED,3,Domestic,Monsoon,5538,8,1662
597,16,8,CFL,2,Commercial,Summer,1714,10,3659
325,183,13,CFL,5,Commercial,Monsoon,5805,10,3109
461,164,12,LED,3,Domestic,Monsoon,2127,8,3685
315,77,15,LED,10,Domestic,Winter,2377,2,2854
371,49,8,Bulb,7,Domestic,Monsoon,5717,5,2595
360,128,14,LED,2,Commercial,Monsoon,2774,7,3182
77,107,14,LED,8,Commercial,Winter,5972,7,1654
590,37,7,Bulb,6,Commercial,Monsoon,2240,3,3623
596,64,10,CFL,7,Commercial,Winter,3667,5,3936
497,45,4,Bulb,6,Commercial,Summer,553,6,2971
73,31,14,Bulb,4,Domestic,Monsoon,5621,10,1394
470,68,3,CFL,4,Commercial,Summer,3087,7,2838
168,141,10,Bulb,6,Domestic,Monsoon,3222,5,1968
237,20,14,Bulb,5,Domestic,Monsoon,3718,8,2206
62,174,6,CFL,9,Commercial,Summer,3190,9,1262
110,172,7,Bulb,9,Commercial,Monsoon,4242,8,1570
185,26,8,Bulb,9,Commercial,Monsoon,4841,1,1562
268,187,11,Bulb,10,Domestic,Monsoon,1781,9,2696
69,19,14,LED,6,Domestic,Summer,4853,6,1336
82,123,7,CFL,7,Commercial,Winter,3776,2,1271
68,99,5,Bulb,6,Commercial,Winter,4815,7,991
156,165,13,CFL,6,Domestic,Summer,3499,3,2179
342,159,8,LED,3,Commercial,Summer,3753,2,2792
292,50,9,LED,8,Domestic,Summer,837,1,2256
121,77,6,LED,9,Commercial,Summer,2139,2,1261
257,118,13,LED,8,Commercial,Winter,535,3,2553
329,119,8,Bulb,4,Domestic,Winter,1992,1,2599
305,150,15,CFL,3,Commercial,Winter,5945,3,3033
287,41,7,CFL,5,Commercial,Monsoon,758,10,2071
346,98,10,CFL,5,Commercial,Monsoon,4178,1,2752
503,166,15,CFL,10,Domestic,Summer,669,1,4106
288,146,14,LED,6,Commercial,Monsoon,1368,5,2867
361,145,11,CFL,5,Domestic,Summer,4015,9,3043
173,199,5,LED,9,Domestic,Monsoon,3795,9,1849
540,162,13,LED,7,Commercial,Winter,4726,3,4153
271,46,11,LED,4,Commercial,Winter,1408,3,2267
519,100,14,LED,10,Domestic,Monsoon,3946,5,3915
59,174,5,LED,7,Commercial,Summer,2502,9,1181
497,174,8,LED,2,Domestic,Winter,3310,7,3640
529,178,7,CFL,5,Commercial,Winter,4936,10,3752
78,48,11,CFL,10,Commercial,Monsoon,2469,5,1276
494,87,13,CFL,8,Commercial,Summer,1475,4,3679
301,162,13,Bulb,2,Domestic,Winter,3043,9,2919
433,115,9,LED,7,Commercial,Monsoon,1102,10,3189
341,131,14,CFL,3,Commercial,Summer,3257,9,3093
342,73,7,LED,4,Commercial,Summer,1333,1,2456
467,116,9,CFL,10,Domestic,Winter,1594,2,3368
292,27,14,CFL,8,Commercial,Monsoon,5694,7,2512
297,30,14,LED,7,Domestic,Monsoon,3641,2,2548
180,13,12,LED,5,Commercial,Winter,861,9,1758
88,73,14,Bulb,4,Commercial,Winter,1155,5,1604
120,150,6,CFL,5,Domestic,Monsoon,4556,5,1486
326,154,12,LED,9,Domestic,Summer,1455,7,2957
308,199,6,LED,5,Domestic,Summer,1532,4,2611
69,158,4,CFL,10,Domestic,Winter,4265,10,1117
244,161,6,Bulb,10,Domestic,Monsoon,5541,5,2161
104,10,5,CFL,10,Commercial,Winter,537,5,897
520,20,10,Bulb,5,Domestic,Monsoon,2674,1,3405
569,66,4,LED,3,Commercial,Winter,4021,7,3409
240,15,3,CFL,8,Commercial,Summer,4310,3,1483
523,13,14,LED,3,Domestic,Monsoon,652,9,3661
331,103,2,LED,9,Commercial,Summer,2273,8,2165
63,176,8,LED,6,Commercial,Monsoon,2768,1,1405
196,140,4,Bulb,6,Domestic,Monsoon,562,2,1716
576,75,5,LED,9,Commercial,Monsoon,858,5,3539
114,143,6,Bulb,8,Commercial,Monsoon,1212,4,1433
555,181,8,CFL,4,Commercial,Summer,5785,5,3962
275,113,3,LED,5,Commercial,Monsoon,1235,2,1973
485,56,15,CFL,5,Domestic,Monsoon,3950,4,3666
155,128,6,LED,8,Commercial,Monsoon,4277,8,1598
420,171,15,LED,6,Domestic,Winter,4526,5,3693
110,16,11,LED,5,Domestic,Winter,5503,4,1341
288,200,5,LED,7,Commercial,Monsoon,2816,5,2446
172,159,9,CFL,3,Domestic,Monsoon,3324,9,1980
53,152,15,LED,8,Commercial,Winter,3172,3,1738
294,10,13,CFL,3,Domestic,Winter,3366,4,2403
166,124,14,LED,3,Domestic,Summer,4395,1,2167
597,143,8,CFL,10,Domestic,Monsoon,2398,10,4059
302,38,13,Bulb,10,Commercial,Monsoon,3388,3,2533
547,170,10,CFL,6,Commercial,Winter,4069,2,4017
